freq_Hz,return_loss_dB_ref10ohm
3.752508360000000000e+08,1.303807307205922683e+01
3.762541810000000000e+08,1.316789153050217642e+01
3.772575250000000000e+08,1.330034012909728602e+01
3.782608700000000000e+08,1.343550916101577464e+01
3.792642140000000000e+08,1.357349383225320061e+01
3.802675590000000000e+08,1.371439419944481308e+01
3.812709030000000000e+08,1.385831613377767546e+01
3.822742470000000000e+08,1.400537118126156599e+01
3.832775920000000000e+08,1.415567738763702899e+01
3.842809360000000000e+08,1.430935969466589341e+01
3.852842810000000000e+08,1.446655041296349076e+01
3.862876250000000000e+08,1.462738981982997544e+01
3.872909700000000000e+08,1.479202716806405604e+01
3.882943140000000000e+08,1.496062074925514906e+01
3.892976590000000000e+08,1.513333946378821437e+01
3.903010030000000000e+08,1.531036330007041535e+01
3.913043480000000000e+08,1.549188433027762990e+01
3.923076920000000000e+08,1.567810794668428542e+01
3.933110370000000000e+08,1.586925439088594558e+01
3.943143810000000000e+08,1.606555958334567791e+01
3.953177260000000000e+08,1.626727732151410777e+01
3.963210700000000000e+08,1.647468080887243502e+01
3.973244150000000000e+08,1.668806453351130514e+01
3.983277590000000000e+08,1.690774703195922513e+01
3.993311040000000000e+08,1.713407301303179153e+01
4.003344480000000000e+08,1.736741699611174639e+01
4.013377930000000000e+08,1.760818621160040465e+01
4.023411370000000000e+08,1.785682482353864486e+01
4.033444820000000000e+08,1.811381855176043842e+01
4.043478260000000000e+08,1.837970033527371427e+01
4.053511710000000000e+08,1.865505572696308434e+01
4.063545150000000000e+08,1.894053143699012765e+01
4.073578600000000000e+08,1.923684281371154725e+01
4.083612040000000000e+08,1.954478485586746217e+01
4.093645480000000000e+08,1.986524443163179043e+01
4.103678930000000000e+08,2.019921461304514665e+01
4.113712370000000000e+08,2.054781227186688142e+01
4.123745820000000000e+08,2.091230045567563067e+01
4.133779260000000000e+08,2.129411423989420982e+01
4.143812710000000000e+08,2.169489356659218515e+01
4.153846150000000000e+08,2.211652517065141765e+01
4.163879600000000000e+08,2.256119294898538641e+01
4.173913040000000000e+08,2.303144634670235646e+01
4.183946490000000000e+08,2.353028397906013680e+01
4.193979930000000000e+08,2.406126828883763125e+01
4.204013380000000000e+08,2.462867570618469415e+01
4.214046820000000000e+08,2.523770004937268396e+01
4.224080270000000000e+08,2.589473718674043567e+01
4.234113710000000000e+08,2.660778607017934405e+01
4.244147160000000000e+08,2.738703436841266026e+01
4.254180600000000000e+08,2.824573783478745526e+01
4.264214050000000000e+08,2.920159195527739371e+01
4.274247490000000000e+08,3.027896475236039464e+01
4.284280940000000000e+08,3.151274371763507531e+01
4.294314380000000000e+08,3.295542018576448839e+01
4.304347830000000000e+08,3.469138202064925025e+01
4.314381270000000000e+08,3.686947983635085535e+01
4.324414720000000000e+08,3.979192202858489225e+01
4.334448160000000000e+08,4.424192484089794419e+01
4.344481610000000000e+08,5.387269988109878227e+01
4.354515050000000000e+08,5.348031192369623454e+01
4.364548490000000000e+08,4.408354117622121038e+01
4.374581940000000000e+08,3.966480076577035874e+01
4.384615380000000000e+08,3.674433782252125980e+01
4.394648830000000000e+08,3.455845069035773065e+01
4.404682270000000000e+08,3.281026248030204329e+01
4.414715720000000000e+08,3.135297640946320286e+01
4.424749160000000000e+08,3.010316466805347702e+01
4.434782610000000000e+08,2.900884383629784935e+01
4.444816050000000000e+08,2.803542263652407485e+01
4.454849500000000000e+08,2.715871621783691481e+01
4.464882940000000000e+08,2.636115006096953550e+01
4.474916390000000000e+08,2.562955086850712050e+01
4.484949830000000000e+08,2.495378959927542084e+01
4.494983280000000000e+08,2.432591024723869211e+01
4.505016720000000000e+08,2.373954939300201872e+01
4.515050170000000000e+08,2.318953797349156787e+01
4.525083610000000000e+08,2.267161965567008863e+01
4.535117060000000000e+08,2.218224792235143994e+01
4.545150500000000000e+08,2.171843659747906585e+01
4.555183950000000000e+08,2.127764763893069500e+01
4.565217390000000000e+08,2.085770575948462380e+01
4.575250840000000000e+08,2.045673250202572291e+01
4.585284280000000000e+08,2.007309445035998507e+01
4.595317730000000000e+08,1.970536248267340440e+01
4.605351170000000000e+08,1.935227907127243796e+01
4.615384620000000000e+08,1.901273181549854030e+01
4.625418060000000000e+08,1.868573199806353102e+01
4.635451510000000000e+08,1.837039685420855406e+01
4.645484950000000000e+08,1.806593497341003740e+01
4.655518390000000000e+08,1.777163415158301873e+01
4.665551840000000000e+08,1.748685109334192944e+01
4.675585280000000000e+08,1.721100288452046811e+01
4.685618730000000000e+08,1.694355955729430363e+01
4.695652170000000000e+08,1.668403797448634762e+01
4.705685620000000000e+08,1.643199638594719403e+01
4.715719060000000000e+08,1.618702989923539448e+01
4.725752510000000000e+08,1.594876642172288328e+01
4.735785950000000000e+08,1.571686323135215702e+01
4.745819400000000000e+08,1.549100401865790744e+01
4.755852840000000000e+08,1.527089615507742693e+01
4.765886290000000000e+08,1.505626845070742803e+01
4.775919730000000000e+08,1.484686907161383296e+01
4.785953180000000000e+08,1.464246367882531175e+01
4.795986620000000000e+08,1.444283400919179172e+01
4.806020070000000000e+08,1.424777627281353531e+01
4.816053510000000000e+08,1.405709995692166991e+01
4.826086960000000000e+08,1.387062671305759842e+01
4.836120400000000000e+08,1.368818932108276343e+01
4.846153850000000000e+08,1.350963077297924286e+01
4.856187290000000000e+08,1.333480345433857295e+01
4.866220740000000000e+08,1.316356842963014628e+01
4.876254180000000000e+08,1.299579474914283139e+01
4.886287630000000000e+08,1.283135883679920397e+01
4.896321070000000000e+08,1.267014397993991892e+01
4.906354520000000000e+08,1.251203975258040835e+01
4.916387960000000000e+08,1.235694172362068244e+01
4.926421400000000000e+08,1.220475080405291024e+01
4.936454850000000000e+08,1.205537305940638149e+01
4.946488290000000000e+08,1.190871933424400098e+01
4.956521740000000000e+08,1.176470484225895419e+01
4.966555180000000000e+08,1.162324895926811941e+01
4.976588630000000000e+08,1.148427492302971409e+01
4.986622070000000000e+08,1.134770956408101661e+01
4.996655520000000000e+08,1.121348317981562559e+01
5.006688960000000000e+08,1.108152918430216083e+01
5.016722410000000000e+08,1.095178398774470274e+01
5.026755850000000000e+08,1.082418683865200570e+01
5.036789300000000000e+08,1.069867962802394956e+01
5.046822740000000000e+08,1.057520667650430291e+01
5.056856190000000000e+08,1.045371472120448786e+01
5.066889630000000000e+08,1.033415267949751026e+01
5.076923080000000000e+08,1.021647155733887402e+01
5.086956520000000000e+08,1.010062433960025885e+01
5.096989970000000000e+08,9.986565865779494899e+00
5.107023410000000000e+08,9.874252746294171601e+00
5.117056860000000000e+08,9.763643268753547488e+00
5.127090300000000000e+08,9.654697283477528202e+00
5.137123750000000000e+08,9.547376180123446687e+00
5.147157190000000000e+08,9.441642728600466938e+00
5.157190640000000000e+08,9.337461089077853771e+00
5.167224080000000000e+08,9.234796673398495415e+00
5.177257530000000000e+08,9.133616124380301571e+00
5.187290970000000000e+08,9.033887273507554383e+00
5.197324410000000000e+08,8.935579024642365198e+00
5.207357860000000000e+08,8.838661355401498554e+00
5.217391300000000000e+08,8.743105220961144397e+00
5.227424750000000000e+08,8.648882574109691745e+00
5.237458190000000000e+08,8.555966247241450162e+00
5.247491640000000000e+08,8.464329960898036020e+00
5.257525080000000000e+08,8.373948256573326532e+00
5.267558530000000000e+08,8.284796468520148949e+00
5.277591970000000000e+08,8.196850726961312006e+00
5.287625420000000000e+08,8.110087830633652572e+00
5.297658860000000000e+08,8.024485327119176503e+00
5.307692310000000000e+08,7.940021400653602512e+00
5.317725750000000000e+08,7.856674871747467037e+00
5.327759200000000000e+08,7.774425196814323868e+00
5.337792640000000000e+08,7.693252389584780637e+00
5.347826090000000000e+08,7.613137059301299914e+00
5.357859530000000000e+08,7.534060309126773269e+00
5.367892980000000000e+08,7.456003809946565752e+00
5.377926420000000000e+08,7.378949693724417003e+00
5.387959870000000000e+08,7.302880585482373732e+00
5.397993310000000000e+08,7.227779575954257574e+00
5.408026760000000000e+08,7.153630178961256192e+00
5.418060200000000000e+08,7.080416348308262720e+00
5.428093650000000000e+08,7.008122428584987240e+00
5.438127090000000000e+08,6.936733204049756907e+00
5.448160540000000000e+08,6.866233772893827414e+00
5.458193980000000000e+08,6.796609652603789797e+00
5.468227420000000000e+08,6.727846671663914258e+00
5.478260870000000000e+08,6.659931050600987668e+00
5.488294310000000000e+08,6.592849274195897280e+00
5.498327760000000000e+08,6.526588195968897388e+00
5.508361200000000000e+08,6.461134948188616889e+00
5.518394650000000000e+08,6.396476965896300548e+00
5.528428090000000000e+08,6.332601951036492594e+00
5.538461540000000000e+08,6.269497923434994568e+00
5.548494980000000000e+08,6.207153116496741063e+00
5.558528430000000000e+08,6.145556061617386767e+00
5.568561870000000000e+08,6.084695516867392406e+00
5.578595320000000000e+08,6.024560493571245345e+00
5.588628760000000000e+08,5.965140227812161022e+00
5.598662210000000000e+08,5.906424185067957744e+00
5.608695650000000000e+08,5.848402049661971525e+00
5.618729100000000000e+08,5.791063708803871890e+00
5.628762540000000000e+08,5.734399274222336196e+00
5.638795990000000000e+08,5.678399042652873874e+00
5.648829430000000000e+08,5.623053506049866535e+00
5.658862880000000000e+08,5.568353345585768110e+00
5.668896320000000000e+08,5.514289421500485844e+00
5.678929770000000000e+08,5.460852768997899176e+00
5.688963210000000000e+08,5.408034614282603236e+00
5.698996660000000000e+08,5.355826320184502443e+00
5.709030100000000000e+08,5.304219432332067719e+00
5.719063550000000000e+08,5.253205643719901730e+00
5.729096990000000000e+08,5.202776812538113305e+00
5.739130430000000000e+08,5.152924919532937409e+00
5.749163880000000000e+08,5.103642125592199541e+00
5.759197320000000000e+08,5.054920713096839435e+00
5.769230770000000000e+08,5.006753091295842673e+00
5.779264210000000000e+08,4.959131838483862964e+00
5.789297660000000000e+08,4.912049603667150599e+00
5.799331100000000000e+08,4.865499272147001619e+00
5.809364550000000000e+08,4.819473649385402680e+00
5.819397990000000000e+08,4.773965936841093161e+00
5.829431440000000000e+08,4.728969238779059836e+00
5.839464880000000000e+08,4.684476810556759574e+00
5.849498330000000000e+08,4.640482098655577481e+00
5.859531770000000000e+08,4.596978636199390067e+00
5.869565220000000000e+08,4.553959980181386591e+00
5.879598660000000000e+08,4.511419871792950786e+00
5.889632110000000000e+08,4.469352163819499957e+00
5.899665550000000000e+08,4.427750722070136646e+00
5.909699000000000000e+08,4.386609586552565609e+00
5.919732440000000000e+08,4.345922901882818046e+00
5.929765890000000000e+08,4.305684865346836254e+00
5.939799330000000000e+08,4.265889702469223721e+00
5.949832780000000000e+08,4.226531874384001242e+00
5.959866220000000000e+08,4.187605798355908071e+00
5.969899670000000000e+08,4.149106060425634013e+00
5.979933110000000000e+08,4.111027320894138803e+00
5.989966560000000000e+08,4.073364249652390079e+00
6.000000000000000000e+08,4.036111671336005458e+00
